id,lat,lon,x,y,variable
ARM,54.35,-6.65,15,13,slp
BAR,41.390205,2.154007,24,26,ta
BRL,52.5656,13.3106,35,14,ta
BRL,52.5656,13.3106,35,14,slp
CAD,36.53,-5.705,16,31,ta
CBT,50.85045,4.34878,26,16,ta
CET,52.5,-1.9,20,14,ta
GVE,46.19861,6.14527,28,21,ta
GVE,46.19861,6.14527,28,21,slp
HAA,52.38,4.64,26,15,ta
HAA,52.38,4.64,26,15,slp
HOH,47.8,11.02,33,19,slp
HOH,47.8,11.02,33,19,ta
KAR,49.008,8.404121,30,18,slp
LON,51.5,0.0,22,16,slp
MIL,45.47,9.19,31,22,ta
MUL,47.748611,7.339444,29,19,ta
MUL,47.748611,7.339444,29,19,slp
PAD,45.40797,11.88586,33,22,slp
PAD,45.40797,11.88586,33,22,ta
PAR,48.86,2.34,24,18,ta
PAR,48.86,2.34,24,18,slp
PRA,50.073658,14.41,36,17,ta
ROV,45.9,11.05,33,21,ta
ROV,45.9,11.05,33,21,slp
SHA,47.696,8.639,30,19,ta
SHA,47.696,8.639,30,19,slp
STK,59.35,18.05,40,7,ta
STK,59.35,18.05,40,7,slp
STP,59.93,30.27,52,7,slp
STP,59.93,30.27,52,7,ta
TOR,45.07,7.68,29,22,ta
TOR,45.07,7.68,29,22,slp
UPP,59.8605,17.6407,39,7,ta
VAL,39.47667,-0.374444,21,28,slp
VAL,39.47667,-0.374444,21,28,ta
VIL,54.69,25.28,47,12,ta
WAR,52.2815,20.96339,42,15,ta
WRO,51.11,17.032,39,16,ta
YLI,66.319266,23.67097,45,0,slp
YLI,66.319266,23.67097,45,0,ta
ZIT,50.555278,14.156667,36,16,slp
ZIT,50.555278,14.156667,36,16,ta
